x;y;z;r;p;yw;u_x;u_y;u_z;f_x;f_y;f_z;FPS;TIMESTAMP
5596.813477;28908.140625;218.049759;0.0;0.0;-90.263573;0.0;0.0;1.0;-0.0046;-0.999989;0.0;18.142572;2018-10-24T10:14:27.004Z
5595.932129;28717.777344;217.130524;0.0;0.0;-90.266541;0.0;0.0;1.0;-0.004652;-0.999989;0.0;119.988579;2018-10-24T10:14:27.954Z
5594.998047;28517.910156;216.08699;0.0;0.0;-90.268913;0.0;0.0;1.0;-0.004693;-0.999989;0.0;119.99781;2018-10-24T10:14:28.954Z
5594.055176;28317.685547;214.979095;0.0;0.0;-90.270691;0.0;0.0;1.0;-0.004724;-0.999989;0.0;119.99781;2018-10-24T10:14:29.954Z
5593.108398;28117.734375;213.828201;0.0;0.0;-90.271835;0.0;0.0;1.0;-0.004744;-0.999989;0.0;119.993195;2018-10-24T10:14:30.954Z
5592.157227;27917.587891;212.649307;0.0;0.0;-90.272453;0.0;0.0;1.0;-0.004755;-0.999989;0.0;119.988579;2018-10-24T10:14:31.955Z
5591.205566;27717.527344;211.461502;0.0;0.0;-90.272491;0.0;0.0;1.0;-0.004756;-0.999989;0.0;119.988579;2018-10-24T10:14:32.955Z
5590.254395;27517.324219;210.280838;0.0;0.0;-90.271942;0.0;0.0;1.0;-0.004746;-0.999989;0.0;119.914719;2018-10-24T10:14:33.956Z
5589.305664;27317.15625;209.12587;0.0;0.0;-90.270813;0.0;0.0;1.0;-0.004727;-0.999989;0.0;119.988579;2018-10-24T10:14:34.956Z
5588.363281;27117.154297;208.014923;0.0;0.0;-90.269096;0.0;0.0;1.0;-0.004696;-0.999989;0.0;119.988579;2018-10-24T10:14:35.957Z
5587.425781;26916.75;206.962891;0.0;0.0;-90.266815;0.0;0.0;1.0;-0.004657;-0.999989;0.0;119.988579;2018-10-24T10:14:36.958Z
5586.5;26716.833984;205.992676;0.0;0.0;-90.263885;0.0;0.0;1.0;-0.004606;-0.999989;0.0;119.988579;2018-10-24T10:14:37.958Z
5585.583984;26516.591797;205.11911;0.0;0.0;-90.260338;0.0;0.0;1.0;-0.004544;-0.99999;0.0;119.988525;2018-10-24T10:14:38.958Z
5584.682617;26316.703125;204.364609;0.0;0.0;-90.256157;0.0;0.0;1.0;-0.004471;-0.99999;0.0;119.965469;2018-10-24T10:14:39.958Z
5583.795898;26116.410156;203.746719;0.0;0.0;-90.251244;0.0;0.0;1.0;-0.004385;-0.99999;0.0;119.988579;2018-10-24T10:14:40.959Z
5582.935547;25918.130859;203.292206;0.0;0.0;-90.245697;0.0;0.0;1.0;-0.004288;-0.999991;0.0;119.993141;2018-10-24T10:14:41.950Z
5582.087891;25717.851563;203.014221;0.0;0.0;-90.239311;0.0;0.0;1.0;-0.004177;-0.999991;0.0;119.993195;2018-10-24T10:14:42.951Z
5581.260742;25516.742188;202.942322;0.0;0.0;-90.232117;0.0;0.0;1.0;-0.004051;-0.999992;0.0;119.993195;2018-10-24T10:14:43.957Z
5580.463867;25316.623047;203.102509;0.0;0.0;-90.22406;0.0;0.0;1.0;-0.00391;-0.999992;0.0;119.988579;2018-10-24T10:14:44.957Z
