x;y;z;r;p;yw;u_x;u_y;u_z;f_x;f_y;f_z;HMD_aa_x;HMD_aa_y;HMD_aa_z;HMD_la_x;HMD_la_y;HMD_la_z;HMD_av_x;HMD_av_y;HMD_av_z;HMD_lv_x;HMD_lv_y;HMD_lv_z;HMD_td;FPS;TIMESTAMP
5597.601563;29080.3125;91.805145;0.534802;-11.390043;-90.803566;0.006564;-0.19759;0.980263;-0.013748;-0.980209;-0.197487;-1.074738;0.00179;0.929468;-0.024546;-0.117633;0.00472;-0.003456;0.027905;0.014683;0.005329;-0.001207;-0.00089;656.103638;89.555923;2018-12-18T13:39:36.165Z
5597.438477;29044.386719;91.655609;0.452046;-11.374197;-90.803207;0.005124;-0.197301;0.98033;-0.013743;-0.980264;-0.197216;1.29362;-0.084619;-1.785942;0.056367;-0.014562;0.025486;0.014612;-0.00309;0.01302;0.001506;-0.005756;0.001364;656.30365;89.987999;2018-12-18T13:39:36.364Z
5597.283203;29010.417969;91.511635;0.27933;-11.414147;-90.81176;0.002071;-0.197946;0.980211;-0.013887;-0.980124;-0.197899;6.213161;0.103795;3.840197;-0.054374;0.054405;0.029164;0.028763;-0.008556;0.004808;-0.006337;-0.008032;0.001663;656.492554;89.677208;2018-12-18T13:39:36.554Z
5597.118164;28974.470703;91.356613;0.240683;-11.11465;-90.716064;0.001791;-0.192809;0.981235;-0.012263;-0.981167;-0.192773;0.775276;1.077769;2.78666;-0.071232;-0.030899;0.002754;0.014675;-0.053679;0.013141;-0.015725;0.000222;0.007359;656.692566;89.8293;2018-12-18T13:39:36.753Z
5596.953125;28938.490234;91.198807;0.252653;-10.42685;-90.564232;0.002627;-0.181013;0.983477;-0.009685;-0.983439;-0.18098;-1.101633;-0.945181;1.802296;-0.074526;0.011428;0.021853;-0.001365;-0.089993;0.07158;-0.022223;0.007581;0.011728;656.892578;89.440979;2018-12-18T13:39:36.954Z
5596.787109;28902.451172;91.03817;0.050395;-9.328003;-90.263672;0.000134;-0.162088;0.986776;-0.004541;-0.986766;-0.162086;-2.234502;-0.434931;0.166099;0.070325;-0.01134;-0.096825;-0.000808;-0.088063;-0.004012;-0.018849;-0.001213;0.01122;657.09259;89.16095;2018-12-18T13:39:37.153Z
5596.621094;28866.410156;90.875053;0.086848;-8.86245;-90.411827;0.000408;-0.15407;0.98806;-0.007102;-0.988036;-0.154063;-1.569087;8.685718;-2.926118;0.026892;-0.008395;-0.27882;0.003793;-0.050561;-0.029542;-0.016709;-0.003553;0.011537;657.292542;90.073723;2018-12-18T13:39:37.354Z
5596.45459;28830.324219;90.709335;0.158543;-6.627838;-90.580566;0.001597;-0.115441;0.993313;-0.010065;-0.993266;-0.11542;-0.702381;6.454692;-2.893252;-0.015319;0.003603;-0.275352;-0.025607;-0.300916;-0.035948;-0.020119;-0.00348;0.045603;657.492554;89.616524;2018-12-18T13:39:37.554Z
5596.287598;28794.226563;90.541245;0.258217;-6.409552;-90.68853;0.003165;-0.11168;0.993739;-0.011942;-0.993678;-0.111635;4.011621;3.655183;3.136362;-0.062284;-0.031008;-0.029851;-0.016028;-0.010705;0.002805;0.00006;0.000115;0.005539;657.692566;90.476776;2018-12-18T13:39:37.754Z
5596.120117;28758.144531;90.371002;0.159211;-6.4411;-90.785583;0.00124;-0.112209;0.993684;-0.013624;-0.993594;-0.112182;1.302139;0.22977;-1.245829;0.101801;0.048219;-0.030516;0.004344;0.041886;-0.008523;0.002842;-0.001099;-0.002431;657.892578;89.948288;2018-12-18T13:39:37.954Z
