x;y;z;r;p;yw;u_x;u_y;u_z;f_x;f_y;f_z;HMD_aa_x;HMD_aa_y;HMD_aa_z;HMD_la_x;HMD_la_y;HMD_la_z;HMD_av_x;HMD_av_y;HMD_av_z;HMD_lv_x;HMD_lv_y;HMD_lv_z;HMD_td;FPS;TIMESTAMP
5597.610352;29082.25;91.812668;2.868516;0.862257;-92.94175;0.05075;0.012442;0.998634;-0.051315;-0.998569;0.015049;5.256667;0.455249;1.176501;-0.081135;-0.014996;0.075149;0.019454;0.001982;0.020301;-0.007815;0.011735;0.000073;1804952.5;90.153557;2018-11-30T11:26:59.321Z
5597.447266;29046.306641;91.661911;3.020704;0.840168;-92.906174;0.053371;0.011952;0.998503;-0.050695;-0.998606;0.014663;-3.654101;-0.268368;-3.472399;-0.109747;-0.0119;-0.00189;-0.013982;0.012016;0.005852;-0.009384;0.009468;-0.002872;1804952.625;88.924576;2018-11-30T11:26:59.520Z
5597.282715;29010.386719;91.50766;3.021834;0.835428;-92.767525;0.053358;0.011998;0.998503;-0.048278;-0.998728;0.01458;1.83888;0.189985;2.358701;-0.043746;0.059405;-0.044624;0.005504;0.002171;0.027473;-0.012855;-0.000383;-0.002784;1804952.875;89.643936;2018-11-30T11:26:59.721Z
5597.118164;28974.410156;91.34964;2.716426;1.099735;-92.295395;0.048123;0.017258;0.998692;-0.040044;-0.999014;0.019193;-2.693913;0.35894;2.690871;0.067534;-0.131828;-0.093723;0.029413;-0.030004;0.035352;-0.01303;-0.01174;0.003415;1804953.125;89.722923;2018-11-30T11:26:59.920Z
5596.943848;28936.46875;91.179314;2.449003;1.206129;-92.139046;0.043485;0.019421;0.998865;-0.037316;-0.999082;0.021049;-0.336926;2.454223;3.049075;-0.109029;0.004811;0.031765;0.029376;-0.038629;0.032167;-0.021011;-0.007014;0.003633;1804953.25;89.546959;2018-11-30T11:27:00.131Z
5596.787109;28902.462891;91.023552;2.26761;1.518303;-91.876678;0.040413;0.025166;0.998866;-0.032737;-0.999113;0.026496;-1.273248;0.655121;5.488748;0.081693;0.061442;-0.124135;-0.009452;-0.011471;0.027159;-0.007719;0.003286;-0.000245;1804953.5;89.862946;2018-11-30T11:27:00.320Z
5596.621094;28866.421875;90.855377;2.351859;1.47638;-91.722786;0.041792;0.024498;0.998826;-0.030054;-0.999216;0.025765;-3.212173;2.285042;-1.233221;0.056582;-0.01113;0.07458;-0.001494;-0.001977;0.007214;0.005625;0.004325;-0.001243;1804953.625;90.498589;2018-11-30T11:27:00.520Z
5596.45459;28830.351563;90.683983;2.679395;1.393481;-90.812187;0.047087;0.023627;0.998611;-0.014171;-0.999604;0.024318;-0.708237;-3.628266;1.04094;0.015098;0.001856;-0.022516;-0.021642;-0.034635;0.130752;0.00695;0.024496;0.002036;1804953.875;89.389778;2018-11-30T11:27:00.720Z
5596.287598;28794.25;90.509491;2.795584;1.374603;-89.523376;0.048572;0.024365;0.998522;0.008316;-0.999678;0.023989;-2.167578;-3.486794;-4.714846;-0.00724;-0.091308;0.060746;0.012954;-0.012645;0.11555;0.017413;0.014146;0.001682;1804954.125;89.710747;2018-11-30T11:27:00.921Z
5596.120117;28758.15625;90.332161;2.538779;1.272539;-88.381897;0.043651;0.023428;0.998772;0.02823;-0.999355;0.022208;1.103777;0.966257;-1.450321;-0.089494;0.017316;-0.026912;0.035656;-0.001224;0.103384;0.013558;0.00802;0.000103;1804954.25;89.692551;2018-11-30T11:27:01.120Z
