x;y;z;r;p;yw;u_x;u_y;u_z;f_x;f_y;f_z;FPS;TIMESTAMP
5596,85;28916,51;131,09;-2,25;-45,44;-84,66;0,03;-0,71;0,7;0,07;-0,7;-0,71;90,4;2018-10-19T18:45:06,819Z
5595,93;28716,55;130,12;-0,14;-37,66;-90,07;0;-0,61;0,79;0;-0,79;-0,61;91,3;2018-10-19T18:45:07,817Z
5594,99;28516,46;129,08;0,38;-30,07;-95,92;-0,05;-0,5;0,87;-0,09;-0,86;-0,5;89,99;2018-10-19T18:45:08,819Z
5594,05;28316,14;127,97;-1,54;-30,32;-86,92;0;-0,51;0,86;0,05;-0,86;-0,5;93,64;2018-10-19T18:45:09,820Z
5593,1;28115,79;126,82;-7;-51,73;-72,51;0,12;-0,78;0,61;0,19;-0,59;-0,79;89,04;2018-10-19T18:45:10,822Z
5592,16;27917,87;125,65;-5,34;-48,76;-75,48;0,1;-0,75;0,66;0,17;-0,64;-0,75;90,13;2018-10-19T18:45:11,810Z
5591,2;27716,82;124,46;-2,8;-40,02;-81,37;0,05;-0,64;0,76;0,11;-0,76;-0,64;89,13;2018-10-19T18:45:12,816Z
5590,19;27504,05;123,2;-1,2;-38,05;-84,04;0,04;-0,62;0,79;0,08;-0,78;-0,62;92,82;2018-10-19T18:45:13,818Z
5588,97;27245,64;121,72;5,76;-31,49;-119,7;-0,17;-0,5;0,85;-0,42;-0,74;-0,52;88,89;2018-10-19T18:45:14,819Z
5587,53;26938,13;120,07;4,69;-27,38;-145,15;-0,33;-0,33;0,89;-0,73;-0,51;-0,46;88,52;2018-10-19T18:45:15,820Z
5585,88;26580,68;118,39;4,96;-29,16;-145,14;-0,35;-0,35;0,87;-0,72;-0,5;-0,49;87,69;2018-10-19T18:45:16,819Z
5584;26162,45;116,88;-0,98;-30,49;-105,13;-0,15;-0,49;0,86;-0,22;-0,83;-0,51;46,04;2018-10-19T18:45:17,831Z
5581,93;25679,84;115,98;-1,85;-29,09;-90,66;-0,04;-0,49;0,87;-0,01;-0,87;-0,49;41,04;2018-10-19T18:45:18,831Z
5579,79;25144,07;116,45;-1,99;-28,73;-88,89;-0,03;-0,48;0,88;0,02;-0,88;-0,48;91,23;2018-10-19T18:45:19,818Z
5576,78;24543,18;119,57;-2,33;-29,8;-85,4;0;-0,5;0,87;0,07;-0,86;-0,5;89,34;2018-10-19T18:45:20,820Z
5572,9;23888,41;125,51;-4,89;-38,82;-80,21;0,02;-0,63;0,78;0,13;-0,77;-0,63;90,8;2018-10-19T18:45:21,820Z
5569,12;23187,59;133,36;-4,89;-41;-82,76;0;-0,66;0,75;0,1;-0,75;-0,66;89,13;2018-10-19T18:45:22,812Z
5567,03;22456,47;141,36;-3,83;-41,04;-85,65;-0,02;-0,66;0,75;0,06;-0,75;-0,66;85,33;2018-10-19T18:45:23,812Z
5568,73;21720,93;146,88;-2,62;-31,82;-89,04;-0,04;-0,53;0,85;0,01;-0,85;-0,53;90,04;2018-10-19T18:45:24,821Z
5581,92;20990,8;148,32;0,95;-34,66;-108,02;-0,16;-0,55;0,82;-0,25;-0,78;-0,57;90,81;2018-10-19T18:45:25,822Z
5606,87;20268,5;147,11;-0,57;-38,56;-99,68;-0,11;-0,61;0,78;-0,13;-0,77;-0,62;90,46;2018-10-19T18:45:26,810Z
5629,68;19533,67;144,37;-1,24;-26,47;-99,26;-0,09;-0,44;0,89;-0,14;-0,88;-0,45;89,59;2018-10-19T18:45:27,811Z
5627,71;18750,11;141,53;0,45;-35,67;-110,25;-0,19;-0,55;0,81;-0,28;-0,76;-0,58;90,44;2018-10-19T18:45:28,820Z
5662,34;17930,44;139,55;-1,43;-23,76;-97,86;-0,08;-0,4;0,91;-0,13;-0,91;-0,4;92,47;2018-10-19T18:45:29,819Z
5726,58;17060,29;137,21;-1,29;-19,29;-108,47;-0,13;-0,31;0,94;-0,3;-0,9;-0,33;91,73;2018-10-19T18:45:30,819Z
5229,53;16468,28;136,52;-0,93;-21,58;162,67;-0,35;0,12;0,93;-0,89;0,28;-0,37;44,57;2018-10-19T18:45:31,816Z
4294,28;16459,66;138,19;-1,12;-22,42;164,6;-0,36;0,12;0,92;-0,89;0,25;-0,38;89,42;2018-10-19T18:45:32,821Z
3364,96;16451,1;139,85;-0,52;-25,13;176,82;-0,42;0,03;0,91;-0,9;0,05;-0,42;91,2;2018-10-19T18:45:33,821Z
2874,69;15801,64;140,53;0,93;-26,01;-105,68;-0,1;-0,43;0,9;-0,24;-0,87;-0,44;89,2;2018-10-19T18:45:34,817Z
2843,22;14867,79;140,26;4,01;-30,81;-145,09;-0,38;-0,35;0,86;-0,7;-0,49;-0,51;90,7;2018-10-19T18:45:35,818Z
2724,53;13953,45;140;-1,17;-19,33;-138,13;-0,26;-0,21;0,94;-0,7;-0,63;-0,33;44,57;2018-10-19T18:45:36,817Z
2065,33;13326,52;140;0,54;-19,18;-166,85;-0,32;-0,08;0,94;-0,92;-0,21;-0,33;90,45;2018-10-19T18:45:37,811Z
-659,2;-626,93;0;1,71;0,15;-28,72;;;;;;;;
1703,75;12500,02;140;1,57;-21;-117,15;-0,14;-0,33;0,93;-0,43;-0,83;-0,36;87,98;2018-10-19T18:45:38,818Z
1705,36;11570,24;140;4,61;-20,88;-156,85;-0,29;-0,21;0,93;-0,86;-0,37;-0,36;45,28;2018-10-19T18:45:39,817Z
1586,1;10649,82;140;2,6;-22,91;174,77;-0,39;-0,01;0,92;-0,92;0,08;-0,39;89,19;2018-10-19T18:45:40,821Z
722,04;10448,1;140;4,86;-24,29;167,07;-0,42;0,01;0,91;-0,89;0,2;-0,41;90,75;2018-10-19T18:45:41,821Z
424,05;9607,17;140;0,6;-20,29;-92,54;0;-0,35;0,94;-0,04;-0,94;-0,35;90,64;2018-10-19T18:45:42,818Z
389,05;8669,03;140;-0,74;-25,48;-96,8;-0,06;-0,43;0,9;-0,11;-0,9;-0,43;89,2;2018-10-19T18:45:43,820Z
380,49;7728,81;140;-3,27;-43,91;-96,03;-0,13;-0,68;0,72;-0,08;-0,72;-0,69;89,52;2018-10-19T18:45:44,811Z
341,99;6780,47;140;-2,32;-39,41;-106,41;-0,22;-0,6;0,77;-0,22;-0,74;-0,63;89,75;2018-10-19T18:45:45,811Z
42,06;5906,43;140;-3,68;-35,39;-158,51;-0,56;-0,15;0,81;-0,76;-0,3;-0,58;90,64;2018-10-19T18:45:46,812Z
-881,87;5918,83;140;-0,61;-37,58;163,08;-0,58;0,19;0,79;-0,76;0,23;-0,61;89,83;2018-10-19T18:45:47,811Z
-1299,71;5262,82;140;-0,52;-39,5;-91,01;-0,02;-0,64;0,77;-0,01;-0,77;-0,64;92,19;2018-10-19T18:45:48,820Z
-1822,18;4555,62;140;-0,74;-37,74;-141,13;-0,48;-0,37;0,79;-0,62;-0,5;-0,61;90,98;2018-10-19T18:45:49,811Z
-1985,83;3614,87;140;-0,57;-32,19;-97,87;-0,08;-0,53;0,85;-0,12;-0,84;-0,53;91,08;2018-10-19T18:45:50,821Z
-1981,89;2631,56;140;-0,17;-26,01;-106,47;-0,13;-0,42;0,9;-0,25;-0,86;-0,44;88,18;2018-10-19T18:45:51,811Z
-1950,93;1589,29;140;-2,1;-42,49;-106,69;-0,23;-0,64;0,74;-0,21;-0,71;-0,68;91,95;2018-10-19T18:45:52,811Z
-1927,47;515,7;140;-1,86;-37,92;-90,92;-0,04;-0,61;0,79;-0,01;-0,79;-0,61;91,62;2018-10-19T18:45:53,813Z
-1914,89;-591,3;140;-1,49;-37,58;-87,21;0;-0,61;0,79;0,04;-0,79;-0,61;90,33;2018-10-19T18:45:54,813Z
-1902,29;-1700,93;140;-1,24;-24,22;-96,02;-0,06;-0,41;0,91;-0,1;-0,91;-0,41;91,41;2018-10-19T18:45:55,812Z
-1269,18;-2443,87;140;-0,27;-33,64;-18,99;0,52;-0,18;0,83;0,79;-0,27;-0,55;90,46;2018-10-19T18:45:56,812Z
-793,1;-3283,42;140;-0,7;-33,64;-111,69;-0,22;-0,51;0,83;-0,31;-0,77;-0,55;91,43;2018-10-19T18:45:57,821Z
-737,57;-4384,8;140;-3,38;-24,96;-77,27;0,04;-0,42;0,91;0,2;-0,88;-0,42;90,44;2018-10-19T18:45:58,812Z
-619,7;-5487,59;140;6,3;-38,38;-104,06;-0,04;-0,63;0,78;-0,19;-0,76;-0,62;88,72;2018-10-19T18:45:59,812Z
-324;-6553,99;140;-2,95;-32,34;-103,72;-0,18;-0,51;0,84;-0,2;-0,82;-0,53;88,91;2018-10-19T18:46:00,821Z
-251,93;-7661,91;140;-2,43;-34,47;-92,4;-0,07;-0,56;0,82;-0,03;-0,82;-0,57;90,27;2018-10-19T18:46:01,821Z
